id,project_id,project,city_id,city,city_city_type,city_weatherstation,city_doer_region,department_id,department,department_department_type,complex_id,complex,complex_building_type,complex_year_built,building_id,building,building_year_built,building_category,building_school_type,building_subcategory,unit_id,unit,unit_year_built,unit_school_type,account_provider,usage_id,account_fuel,account_fuel_family,account_fuel_grade,account_parent_num,account_id,account_account_num,account_meter_num,account_rate_class,account_active,occupants,area,interventions,account_street1,account_street2,account_city,account_state,account_zip,usage_usage_start,usage_usage_end,usage_days,usage_reading_type,usage_rate_class,usage_cost,usage_cost_utility,usage_cost_competitive_supply,usage_use,usage_use_demand_kw,usage_use_demand_kva,usage_use_onpeak,usage_use_offpeak,usage_use_shoulder,usage_fuel_grade,usage_use_ccf,usage_comparison_date,emission_mtco2e_factor,emission_mtco2e,emission_mmbtu_factor,emission_mmbtu,include_in_esco,include_in_baseline,dwtp_water_source,wwtp_nutrient_removal,fiscal_year,activity,use_updated_units,updated_units,supercategory,fiscal_year_string,inventory_year
19170,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310163,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-07-17T00:00:00Z,2007-08-30T00:00:00Z,NA,N,G0,83.84,83.84,NA,16,4.5,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.6e-4,0.007,0.003,0.055,1,1,NA,NA,2008,electricity,0.016,MWh,stationary_energy,FY 2008,0
19171,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310164,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-08-30T00:00:00Z,2007-09-28T00:00:00Z,NA,N,G0,38.28,38.28,NA,49,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.6e-4,0.023,0.003,0.167,1,1,NA,NA,2008,electricity,0.049,MWh,stationary_energy,FY 2008,0
19172,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310165,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-09-28T00:00:00Z,2007-10-29T00:00:00Z,NA,N,G0,38.28,38.28,NA,49,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.6e-4,0.023,0.003,0.167,1,1,NA,NA,2008,electricity,0.049,MWh,stationary_energy,FY 2008,0
19173,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310166,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-10-29T00:00:00Z,2007-11-29T00:00:00Z,NA,N,G0,32.83,32.83,NA,7,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.6e-4,0.003,0.003,0.024,1,1,NA,NA,2008,electricity,0.007,MWh,stationary_energy,FY 2008,0
19174,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310167,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-11-29T00:00:00Z,2007-12-31T00:00:00Z,NA,N,G0,32.31,32.31,NA,3,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.6e-4,0.001,0.003,0.01,1,1,NA,NA,2008,electricity,0.003,MWh,stationary_energy,FY 2008,0
32488,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310168,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2007-12-31T00:00:00Z,2008-01-30T00:00:00Z,NA,N,G0,32.31,32.31,NA,3,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.15e-4,0.001,0.003,0.01,1,1,NA,NA,2008,electricity,0.003,MWh,stationary_energy,FY 2008,0
32489,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310169,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2008-01-30T00:00:00Z,2008-02-28T00:00:00Z,NA,N,G0,32.06,32.06,NA,1,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.15e-4,0,0.003,0.003,1,1,NA,NA,2008,electricity,0.001,MWh,stationary_energy,FY 2008,0
32490,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310170,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2008-02-28T00:00:00Z,2008-03-31T00:00:00Z,NA,N,G0,32.06,32.06,NA,1,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.15e-4,0,0.003,0.003,1,1,NA,NA,2008,electricity,0.001,MWh,stationary_energy,FY 2008,0
32491,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310171,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2008-03-31T00:00:00Z,2008-04-30T00:00:00Z,NA,N,G0,34.31,34.31,NA,18,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.15e-4,0.007,0.003,0.061,1,1,NA,NA,2008,electricity,0.018,MWh,stationary_energy,FY 2008,0
32492,1,DOER,1873,Amherst,Municipality,14775,Western,5914,Parks & Commons,NA,NA,NA,NA,NA,5902,Groff Park,NA,Open Space,NA,Park,5903,Groff Park Bathrooms,NA,NA,Eversource (WMECo),2310172,Electric,Electric,NA,808834030,13019,808834030,NA,G0,1,NA,NA,NA,76  MILL LN,BATHROOMS,AMHERST,MA,01002,2008-04-30T00:00:00Z,2008-05-30T00:00:00Z,NA,N,G0,35.51,35.51,NA,27,2,NA,NA,NA,NA,Electric,NA,2026-05-31T00:00:00Z,4.15e-4,0.011,0.003,0.092,1,1,NA,NA,2008,electricity,0.027,MWh,stationary_energy,FY 2008,0
