id,project_id,project,city_id,city,city_city_type,city_weatherstation,city_doer_region,department_id,department,department_department_type,complex_id,complex,complex_building_type,complex_year_built,building_id,building,building_year_built,building_category,building_school_type,building_subcategory,unit_id,unit,unit_year_built,unit_school_type,account_provider,usage_id,account_fuel,account_fuel_family,account_fuel_grade,account_parent_num,account_id,account_account_num,account_meter_num,account_rate_class,account_active,occupants,area,interventions,account_street1,account_street2,account_city,account_state,account_zip,usage_usage_start,usage_usage_end,usage_days,usage_reading_type,usage_rate_class,usage_cost,usage_cost_utility,usage_cost_competitive_supply,usage_use,usage_use_demand_kw,usage_use_demand_kva,usage_use_onpeak,usage_use_offpeak,usage_use_shoulder,usage_fuel_grade,usage_use_ccf,usage_comparison_date,emission_mtco2e_factor,emission_mtco2e,emission_mmbtu_factor,emission_mmbtu,include_in_esco,include_in_baseline,dwtp_water_source,wwtp_nutrient_removal
189242,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482208,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2014-12-31 00:00:00","2015-01-21 00:00:00",21,S,,9.55,9.55,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189243,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482209,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-01-21 00:00:00","2015-01-31 00:00:00",10,S,,5,5,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189244,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482210,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-01-31 00:00:00","2015-02-20 00:00:00",20,S,,10,10,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189245,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482211,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-02-20 00:00:00","2015-03-20 00:00:00",28,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189246,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482212,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-03-20 00:00:00","2015-04-22 00:00:00",33,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189247,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482213,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-04-22 00:00:00","2015-05-20 00:00:00",28,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189248,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482214,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-05-20 00:00:00","2015-06-19 00:00:00",30,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189249,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482215,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-06-19 00:00:00","2015-06-30 00:00:00",11,S,,5,5,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189250,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482216,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-06-30 00:00:00","2015-07-22 00:00:00",22,S,,10,10,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189251,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482217,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-07-22 00:00:00","2015-08-20 00:00:00",29,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189252,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482218,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-08-20 00:00:00","2015-09-21 00:00:00",32,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
189253,1,DOER,1873,Amherst,Municipality,14775,Western,43627,Wastewater,,,,,,6094,"Wastewater Treatment Facility",1979,Water/Sewer,,"Wastewater Treatment Plant",43631,"Sewer pipe alarm panel",,,"Eversource (WMECo)",197482219,Electric,Electric,,72001111037,13056,72001111037,,099,1,,23872,,"PONDVIEW DR","ALARM PANEL",AMHERST,MA,01002,"2015-09-21 00:00:00","2015-10-20 00:00:00",29,N,,15,15,,0,0,,0,0,,Electric,,"2026-05-31 00:00:00",0.000289,0.000,0.003,0.000,1,1,,No
