department,complex,facility,unit,account_id,provider,account_fuel,default_units,usage_end,use,account_status,include_in_baseline
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-01-31,20160,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-03-01,20040,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-03-31,20760,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-05-02,21120,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-06-01,20760,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-06-30,29040,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-08-01,33600,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-08-31,30720,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-09-29,26040,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-10-28,20880,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-11-30,22680,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2005-12-30,21240,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-01-30,19920,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-02-28,19800,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-03-28,19440,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-04-28,21240,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-05-30,21720,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-06-29,26880,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-07-31,32880,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-08-30,28560,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-09-28,20640,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-10-27,18960,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-11-29,21120,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2006-12-29,20160,Active,1
,,Amherst Bangs (Senior Ctr.),,13013,Eversource (WMECo),Electric,Kilowatt Hours,2007-01-30,20760,Active,1
